zone;X;Y;time;idleDRTVehicles
1;326267.24945900356;3914359.222951945;0.0;0
1;326267.24945900356;3914359.222951945;0.0;1
1;326267.24945900356;3914359.222951945;0.0;2
1;326267.24945900356;3914359.222951945;0.0;3
1;326267.24945900356;3914359.222951945;0.0;4
1;326267.24945900356;3914359.222951945;0.0;5
1;326267.24945900356;3914359.222951945;0.0;6
1;326267.24945900356;3914359.222951945;0.0;7
1;326267.24945900356;3914359.222951945;0.0;8
1;326267.24945900356;3914359.222951945;0.0;9
1;326267.24945900356;3914359.222951945;0.0;10
1;326267.24945900356;3914359.222951945;0.0;11
1;326267.24945900356;3914359.222951945;0.0;12
1;326267.24945900356;3914359.222951945;10831.0;11
1;326267.24945900356;3914359.222951945;11819.0;12
1;326267.24945900356;3914359.222951945;26419.0;11
1;326267.24945900356;3914359.222951945;27110.0;12
1;326267.24945900356;3914359.222951945;29722.0;11
1;326267.24945900356;3914359.222951945;30294.0;12
1;326267.24945900356;3914359.222951945;30368.0;11
1;326267.24945900356;3914359.222951945;31093.0;12
1;326267.24945900356;3914359.222951945;32760.0;11
1;326267.24945900356;3914359.222951945;33519.0;12
1;326267.24945900356;3914359.222951945;33910.0;11
1;326267.24945900356;3914359.222951945;34642.0;12
1;326267.24945900356;3914359.222951945;39790.0;11
1;326267.24945900356;3914359.222951945;40599.0;12
1;326267.24945900356;3914359.222951945;46225.0;11
1;326267.24945900356;3914359.222951945;46315.0;10
1;326267.24945900356;3914359.222951945;46818.0;11
1;326267.24945900356;3914359.222951945;47436.0;10
1;326267.24945900356;3914359.222951945;47488.0;11
1;326267.24945900356;3914359.222951945;48299.0;12
1;326267.24945900356;3914359.222951945;49248.0;11
1;326267.24945900356;3914359.222951945;49874.0;12
1;326267.24945900356;3914359.222951945;51748.0;11
1;326267.24945900356;3914359.222951945;52372.0;12
1;326267.24945900356;3914359.222951945;52765.0;11
1;326267.24945900356;3914359.222951945;54078.0;10
1;326267.24945900356;3914359.222951945;54316.0;11
1;326267.24945900356;3914359.222951945;54810.0;12
1;326267.24945900356;3914359.222951945;55866.0;11
1;326267.24945900356;3914359.222951945;55956.0;10
1;326267.24945900356;3914359.222951945;57001.0;11
1;326267.24945900356;3914359.222951945;57135.0;12
1;326267.24945900356;3914359.222951945;57625.0;11
1;326267.24945900356;3914359.222951945;58024.0;12
1;326267.24945900356;3914359.222951945;58615.0;11
1;326267.24945900356;3914359.222951945;59702.0;12
1;326267.24945900356;3914359.222951945;61225.0;11
1;326267.24945900356;3914359.222951945;61546.0;12
1;326267.24945900356;3914359.222951945;63940.0;11
1;326267.24945900356;3914359.222951945;66296.0;12
1;326267.24945900356;3914359.222951945;70276.0;11
1;326267.24945900356;3914359.222951945;71708.0;12
