runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;1;1
NA;2;1;373;373;373;373;373;100;100;78;910.57;910.57;451;0.64;2;0.67
NA;3;3;514.67;771;771;771;400;66.67;100;454.33;3788.51;3788.51;969;2.65;1;0.25
NA;4;3;606.33;803;803;803;581;66.67;100;307.67;2510.78;2510.78;914;1.76;2;0.4
NA;5;3;764;1054;1054;1054;803;33.33;66.67;293.33;2475.37;2475.37;1057.33;1.73;1;0.25
NA;6;3;504.67;803;803;803;435;66.67;100;422;3397.02;3369.14;926.67;2.36;3;0.5
NA;7;4;614;942;942;907.25;619;50;75;373.75;2987.16;2955.51;987.75;2.07;3;0.43
NA;8;1;435;435;435;435;435;100;100;78;910.57;910.57;513;0.64;6;0.86
NA;9;1;435;435;435;435;435;100;100;78;910.57;910.57;513;0.64;6;0.86
NA;10;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;7;1
NA;11;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;8;1
NA;12;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;10;1
NA;13;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;7;1
NA;14;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;7;1
NA;15;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;5;1
NA;16;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;6;1
NA;17;2;702;932;932;932;702;50;50;405.5;3340.04;3340.04;1107.5;2.34;6;0.75
NA;18;4;590;716;716;699.75;586;50;100;935.5;10207.77;10207.77;1525.5;7.15;7;0.64
NA;19;4;590;716;716;699.75;586;50;100;935.5;10207.77;10207.77;1525.5;7.15;6;0.6
NA;20;4;590;716;716;699.75;586;50;100;935.5;10207.77;10207.77;1525.5;7.15;7;0.64
